iter	RMSE	RMSE
0	11.91212353	11.91212353
1	11.79449702	11.79449702
2	11.67692855	11.67692855
3	11.5605347	11.5605347
4	11.44666379	11.44666379
5	11.33423733	11.33423733
6	11.2218364	11.2218364
7	11.11168346	11.11168346
8	11.00331792	11.00331792
9	10.89402452	10.89402452
10	10.7869051	10.7869051
11	10.67958831	10.67958831
12	10.57396017	10.57396017
13	10.46857963	10.46857963
14	10.36585871	10.36585871
15	10.26255726	10.26255726
16	10.16113811	10.16113811
17	10.06203928	10.06203928
18	9.963011033	9.963011033
19	9.864955034	9.864955034
20	9.768004285	9.768004285
21	9.670844788	9.670844788
22	9.574669294	9.574669294
23	9.479704793	9.479704793
24	9.385879106	9.385879106
25	9.292550976	9.292550976
26	9.199973051	9.199973051
27	9.109055992	9.109055992
28	9.019147303	9.019147303
29	8.930212251	8.930212251
30	8.841753807	8.841753807
31	8.754911038	8.754911038
32	8.66770498	8.66770498
33	8.582310383	8.582310383
34	8.496876465	8.496876465
35	8.413656161	8.413656161
36	8.330141166	8.330141166
37	8.249337692	8.249337692
38	8.167183617	8.167183617
39	8.085975566	8.085975566
40	8.005669766	8.005669766
41	7.926767775	7.926767775
42	7.848597608	7.848597608
43	7.771085879	7.771085879
44	7.693712928	7.693712928
45	7.617586683	7.617586683
46	7.541748972	7.541748972
47	7.467140679	7.467140679
48	7.393165254	7.393165254
49	7.320531966	7.320531966
50	7.247664025	7.247664025
51	7.176837878	7.176837878
52	7.105739874	7.105739874
53	7.035130505	7.035130505
54	6.965323149	6.965323149
55	6.896415085	6.896415085
56	6.827788141	6.827788141
57	6.760522759	6.760522759
58	6.693855389	6.693855389
59	6.627365772	6.627365772
60	6.56222573	6.56222573
61	6.497867542	6.497867542
62	6.433569306	6.433569306
63	6.369830125	6.369830125
64	6.306598326	6.306598326
65	6.244490974	6.244490974
66	6.182385477	6.182385477
67	6.120993211	6.120993211
68	6.060124492	6.060124492
69	6.000363653	6.000363653
70	5.940978432	5.940978432
71	5.882472028	5.882472028
72	5.824241323	5.824241323
73	5.767234022	5.767234022
74	5.709903914	5.709903914
75	5.65314818	5.65314818
76	5.596961111	5.596961111
77	5.541583812	5.541583812
78	5.487378519	5.487378519
79	5.43301631	5.43301631
80	5.379629352	5.379629352
81	5.32679898	5.32679898
82	5.273879431	5.273879431
83	5.221490393	5.221490393
84	5.169990105	5.169990105
85	5.118744456	5.118744456
86	5.068735785	5.068735785
87	5.018795968	5.018795968
88	4.969061212	4.969061212
89	4.920049041	4.920049041
90	4.871553311	4.871553311
91	4.823191852	4.823191852
92	4.775315563	4.775315563
93	4.72814821	4.72814821
94	4.681225509	4.681225509
95	4.635165899	4.635165899
96	4.589388147	4.589388147
97	4.54389467	4.54389467
98	4.49953355	4.49953355
99	4.454951575	4.454951575
100	4.410880424	4.410880424
101	4.367138429	4.367138429
102	4.324344353	4.324344353
103	4.281829253	4.281829253
104	4.239385068	4.239385068
105	4.197361688	4.197361688
106	4.155999123	4.155999123
107	4.114813495	4.114813495
108	4.074041772	4.074041772
109	4.034112122	4.034112122
110	3.994224027	3.994224027
111	3.954676516	3.954676516
112	3.915966874	3.915966874
113	3.87735351	3.87735351
114	3.839228397	3.839228397
115	3.801221097	3.801221097
116	3.7637726	3.7637726
117	3.726523776	3.726523776
118	3.689649792	3.689649792
119	3.653146938	3.653146938
120	3.617270309	3.617270309
121	3.581661433	3.581661433
122	3.546873949	3.546873949
123	3.511815584	3.511815584
124	3.477097585	3.477097585
125	3.442989233	3.442989233
126	3.408963631	3.408963631
127	3.375581954	3.375581954
128	3.342233764	3.342233764
129	3.309417142	3.309417142
130	3.276954625	3.276954625
131	3.245044038	3.245044038
132	3.213289241	3.213289241
133	3.181573468	3.181573468
134	3.150351629	3.150351629
135	3.119385373	3.119385373
136	3.088824371	3.088824371
137	3.058650118	3.058650118
138	3.028829396	3.028829396
139	2.999047445	2.999047445
140	2.969609491	2.969609491
141	2.94069306	2.94069306
142	2.911939281	2.911939281
143	2.883284556	2.883284556
144	2.854894657	2.854894657
145	2.827170506	2.827170506
146	2.799435789	2.799435789
147	2.772061236	2.772061236
148	2.74479463	2.74479463
149	2.718107277	2.718107277
150	2.691595073	2.691595073
151	2.665162936	2.665162936
152	2.639002892	2.639002892
153	2.613122096	2.613122096
154	2.587457871	2.587457871
155	2.562353255	2.562353255
156	2.537380489	2.537380489
157	2.512526865	2.512526865
158	2.487921283	2.487921283
159	2.463405585	2.463405585
160	2.439726183	2.439726183
161	2.415879064	2.415879064
162	2.392223871	2.392223871
163	2.368928071	2.368928071
164	2.345747054	2.345747054
165	2.322908086	2.322908086
166	2.300216678	2.300216678
167	2.277731722	2.277731722
168	2.255453299	2.255453299
169	2.233614771	2.233614771
170	2.211933207	2.211933207
171	2.190449944	2.190449944
172	2.169236065	2.169236065
173	2.148053848	2.148053848
174	2.127125582	2.127125582
175	2.1063709	2.1063709
176	2.085998486	2.085998486
177	2.065662609	2.065662609
178	2.045482666	2.045482666
179	2.025596345	2.025596345
180	2.005952115	2.005952115
181	1.986514464	1.986514464
182	1.967300952	1.967300952
183	1.948347133	1.948347133
184	1.929579101	1.929579101
185	1.911052816	1.911052816
186	1.892642915	1.892642915
187	1.874473149	1.874473149
188	1.856322478	1.856322478
189	1.83836024	1.83836024
190	1.820586102	1.820586102
191	1.803016125	1.803016125
192	1.785774812	1.785774812
193	1.768593058	1.768593058
194	1.751556988	1.751556988
195	1.734735737	1.734735737
196	1.71797469	1.71797469
197	1.701543167	1.701543167
198	1.685250795	1.685250795
199	1.668993256	1.668993256
200	1.652882228	1.652882228
201	1.636914035	1.636914035
202	1.621111843	1.621111843
203	1.605670939	1.605670939
204	1.590128778	1.590128778
205	1.574870543	1.574870543
206	1.559863994	1.559863994
207	1.544950103	1.544950103
208	1.530213066	1.530213066
209	1.515528649	1.515528649
210	1.501049929	1.501049929
211	1.486626606	1.486626606
212	1.472512988	1.472512988
213	1.458508221	1.458508221
214	1.444597747	1.444597747
215	1.430828279	1.430828279
216	1.417229947	1.417229947
217	1.403810765	1.403810765
218	1.390449403	1.390449403
219	1.377216394	1.377216394
220	1.364131785	1.364131785
221	1.351173435	1.351173435
222	1.338404847	1.338404847
223	1.325701113	1.325701113
224	1.313164224	1.313164224
225	1.300647656	1.300647656
226	1.288331239	1.288331239
227	1.276229999	1.276229999
228	1.264177029	1.264177029
229	1.252196181	1.252196181
230	1.240476354	1.240476354
231	1.228846615	1.228846615
232	1.217236744	1.217236744
233	1.205819497	1.205819497
234	1.194527345	1.194527345
235	1.183334554	1.183334554
236	1.172198807	1.172198807
237	1.161091805	1.161091805
238	1.150242083	1.150242083
239	1.139497621	1.139497621
240	1.128873109	1.128873109
241	1.118265865	1.118265865
242	1.107814853	1.107814853
243	1.097513311	1.097513311
244	1.087321644	1.087321644
245	1.077238812	1.077238812
246	1.067246146	1.067246146
247	1.057397087	1.057397087
248	1.04750261	1.04750261
249	1.037839613	1.037839613
250	1.028322001	1.028322001
251	1.018875298	1.018875298
252	1.009450507	1.009450507
253	1.000176429	1.000176429
254	0.9909523157	0.9909523157
255	0.9818869001	0.9818869001
256	0.9727418475	0.9727418475
257	0.9638089386	0.9638089386
258	0.9550344563	0.9550344563
259	0.9462324572	0.9462324572
260	0.9374318469	0.9374318469
261	0.9287697019	0.9287697019
262	0.9202668291	0.9202668291
263	0.9119105505	0.9119105505
264	0.9035120344	0.9035120344
265	0.895341587	0.895341587
266	0.887334602	0.887334602
267	0.8793222838	0.8793222838
268	0.8714264268	0.8714264268
269	0.8637305172	0.8637305172
270	0.8558584667	0.8558584667
271	0.8482287204	0.8482287204
272	0.8405705815	0.8405705815
273	0.8330054262	0.8330054262
274	0.8254770903	0.8254770903
275	0.8181857133	0.8181857133
276	0.8109604849	0.8109604849
277	0.8037621818	0.8037621818
278	0.7966946841	0.7966946841
279	0.7894765709	0.7894765709
280	0.7825179265	0.7825179265
281	0.7755867006	0.7755867006
282	0.7687866039	0.7687866039
283	0.7619156005	0.7619156005
284	0.7553082204	0.7553082204
285	0.7486605388	0.7486605388
286	0.7420892889	0.7420892889
287	0.7353707124	0.7353707124
288	0.7288846731	0.7288846731
289	0.722616975	0.722616975
290	0.7162242027	0.7162242027
291	0.710107883	0.710107883
292	0.7039298949	0.7039298949
293	0.6975840814	0.6975840814
294	0.6915988731	0.6915988731
295	0.6854517281	0.6854517281
296	0.6796593396	0.6796593396
297	0.6738178047	0.6738178047
298	0.6679671542	0.6679671542
299	0.6620428365	0.6620428365
300	0.6563131942	0.6563131942
301	0.6508404028	0.6508404028
302	0.6451164951	0.6451164951
303	0.6397383725	0.6397383725
304	0.6344439251	0.6344439251
305	0.6289659695	0.6289659695
306	0.6235120881	0.6235120881
307	0.6181379898	0.6181379898
308	0.6129666805	0.6129666805
309	0.6076402962	0.6076402962
310	0.602640287	0.602640287
311	0.5976496136	0.5976496136
312	0.5924571721	0.5924571721
313	0.5876788102	0.5876788102
314	0.582966515	0.582966515
315	0.5782309134	0.5782309134
316	0.5735089379	0.5735089379
317	0.5687768755	0.5687768755
318	0.5639962656	0.5639962656
319	0.559302485	0.559302485
320	0.554844651	0.554844651
321	0.5502985106	0.5502985106
322	0.5459976927	0.5459976927
323	0.5415848448	0.5415848448
324	0.5372713558	0.5372713558
325	0.5331314371	0.5331314371
326	0.5290338181	0.5290338181
327	0.5247762647	0.5247762647
328	0.5207759838	0.5207759838
329	0.5168251006	0.5168251006
330	0.512688156	0.512688156
331	0.5086343302	0.5086343302
332	0.5044504852	0.5044504852
333	0.5003368527	0.5003368527
334	0.4962242888	0.4962242888
335	0.4921384555	0.4921384555
336	0.4882693802	0.4882693802
337	0.4845420993	0.4845420993
338	0.4807474317	0.4807474317
339	0.4769139535	0.4769139535
340	0.4730120979	0.4730120979
341	0.4695834841	0.4695834841
342	0.4661984919	0.4661984919
343	0.4627402606	0.4627402606
344	0.4593235966	0.4593235966
345	0.4557666203	0.4557666203
346	0.4521811618	0.4521811618
347	0.4488915867	0.4488915867
348	0.4453631366	0.4453631366
349	0.4420467796	0.4420467796
350	0.4386376084	0.4386376084
351	0.4353555849	0.4353555849
352	0.4320874338	0.4320874338
353	0.4288266782	0.4288266782
354	0.4255252846	0.4255252846
355	0.4226404373	0.4226404373
356	0.419572501	0.419572501
357	0.4164437974	0.4164437974
358	0.4134814351	0.4134814351
359	0.4105551893	0.4105551893
360	0.4075928769	0.4075928769
361	0.4048189455	0.4048189455
362	0.4018205264	0.4018205264
363	0.3988455395	0.3988455395
364	0.395926278	0.395926278
365	0.3932013878	0.3932013878
366	0.3903194063	0.3903194063
367	0.3876131725	0.3876131725
368	0.3849864095	0.3849864095
369	0.3824614999	0.3824614999
370	0.3799626052	0.3799626052
371	0.3773659989	0.3773659989
372	0.3746916672	0.3746916672
373	0.3722512161	0.3722512161
374	0.3697208769	0.3697208769
375	0.3671307146	0.3671307146
376	0.3649333067	0.3649333067
377	0.3623458287	0.3623458287
378	0.3597904051	0.3597904051
379	0.3576292254	0.3576292254
380	0.3552499538	0.3552499538
381	0.3530863458	0.3530863458
382	0.3509849015	0.3509849015
383	0.3486249629	0.3486249629
384	0.3462761646	0.3462761646
385	0.3441306868	0.3441306868
386	0.3420983428	0.3420983428
387	0.340018253	0.340018253
388	0.3380676191	0.3380676191
389	0.3359346593	0.3359346593
390	0.3339205624	0.3339205624
391	0.3317865745	0.3317865745
392	0.3296208733	0.3296208733
393	0.3275558316	0.3275558316
394	0.3253631642	0.3253631642
395	0.3235114424	0.3235114424
396	0.3214458706	0.3214458706
397	0.3197888211	0.3197888211
398	0.3178736836	0.3178736836
399	0.3160562058	0.3160562058
400	0.3141508387	0.3141508387
401	0.3123027073	0.3123027073
402	0.310381567	0.310381567
403	0.3084805221	0.3084805221
404	0.3067904832	0.3067904832
405	0.3049694665	0.3049694665
406	0.3031715131	0.3031715131
407	0.3014063721	0.3014063721
408	0.2996892411	0.2996892411
409	0.2979815656	0.2979815656
410	0.2963796023	0.2963796023
411	0.2946017521	0.2946017521
412	0.2930514161	0.2930514161
413	0.2912356503	0.2912356503
414	0.2895702408	0.2895702408
415	0.2881001851	0.2881001851
416	0.2864317742	0.2864317742
417	0.2847934237	0.2847934237
418	0.2831628417	0.2831628417
419	0.2815768737	0.2815768737
420	0.2800390176	0.2800390176
421	0.2784430678	0.2784430678
422	0.276877931	0.276877931
423	0.2752646673	0.2752646673
424	0.2737861386	0.2737861386
425	0.2722139878	0.2722139878
426	0.2707723715	0.2707723715
427	0.2694419177	0.2694419177
428	0.2680822116	0.2680822116
429	0.2667049845	0.2667049845
430	0.2653509841	0.2653509841
431	0.2639019984	0.2639019984
432	0.2626310963	0.2626310963
433	0.2613178186	0.2613178186
434	0.2599113252	0.2599113252
435	0.2585191526	0.2585191526
436	0.2572316603	0.2572316603
437	0.2560359579	0.2560359579
438	0.2548563689	0.2548563689
439	0.253743252	0.253743252
440	0.2525572971	0.2525572971
441	0.2513752147	0.2513752147
442	0.250212119	0.250212119
443	0.2491156226	0.2491156226
444	0.2479596905	0.2479596905
445	0.2467318865	0.2467318865
446	0.2456351073	0.2456351073
447	0.2445344552	0.2445344552
448	0.2434689584	0.2434689584
449	0.2424550543	0.2424550543
450	0.2414207067	0.2414207067
451	0.240477834	0.240477834
452	0.2394728844	0.2394728844
453	0.2385388776	0.2385388776
454	0.237481544	0.237481544
455	0.2364524282	0.2364524282
456	0.2354043618	0.2354043618
457	0.234464999	0.234464999
458	0.2334549129	0.2334549129
459	0.2325604838	0.2325604838
460	0.2316839289	0.2316839289
461	0.2308626061	0.2308626061
462	0.2299635182	0.2299635182
463	0.2290819626	0.2290819626
464	0.2282072384	0.2282072384
465	0.2274192597	0.2274192597
466	0.2266586582	0.2266586582
467	0.2257823266	0.2257823266
468	0.2249189278	0.2249189278
469	0.2240021298	0.2240021298
470	0.2231271276	0.2231271276
471	0.2224223899	0.2224223899
472	0.2216659337	0.2216659337
473	0.220907699	0.220907699
474	0.2201524887	0.2201524887
475	0.2195280174	0.2195280174
476	0.2187370608	0.2187370608
477	0.2180119077	0.2180119077
478	0.2172570708	0.2172570708
479	0.2165572911	0.2165572911
480	0.2158147052	0.2158147052
481	0.2152061731	0.2152061731
482	0.2145240934	0.2145240934
483	0.213828573	0.213828573
484	0.2131992238	0.2131992238
485	0.2125034976	0.2125034976
486	0.21183017	0.21183017
487	0.2112060482	0.2112060482
488	0.2105808095	0.2105808095
489	0.2099761277	0.2099761277
490	0.2093825141	0.2093825141
491	0.2088203874	0.2088203874
492	0.2083050164	0.2083050164
493	0.207721148	0.207721148
494	0.2070417842	0.2070417842
495	0.2064783344	0.2064783344
496	0.2059202418	0.2059202418
497	0.2053876073	0.2053876073
498	0.2048645406	0.2048645406
499	0.2043231311	0.2043231311
500	0.2038100987	0.2038100987
501	0.2033349525	0.2033349525
502	0.2026596132	0.2026596132
503	0.2020154573	0.2020154573
504	0.2014831834	0.2014831834
505	0.2010023955	0.2010023955
506	0.2004911852	0.2004911852
507	0.1999359741	0.1999359741
508	0.1996408351	0.1996408351
509	0.199067069	0.199067069
510	0.1986513025	0.1986513025
511	0.1981322782	0.1981322782
512	0.1977465428	0.1977465428
513	0.1973233107	0.1973233107
514	0.1969178878	0.1969178878
515	0.1966231512	0.1966231512
516	0.1961696251	0.1961696251
517	0.1957452483	0.1957452483
518	0.1953093417	0.1953093417
519	0.1948526089	0.1948526089
520	0.1946047395	0.1946047395
521	0.1941196853	0.1941196853
522	0.1937266156	0.1937266156
523	0.1933781831	0.1933781831
524	0.1930316903	0.1930316903
525	0.1926504362	0.1926504362
526	0.192192433	0.192192433
527	0.1917896778	0.1917896778
528	0.1914513629	0.1914513629
529	0.1912093968	0.1912093968
530	0.1908379682	0.1908379682
531	0.1904193617	0.1904193617
532	0.1900738869	0.1900738869
533	0.1897508272	0.1897508272
534	0.1894104971	0.1894104971
535	0.1890753101	0.1890753101
536	0.1887074197	0.1887074197
537	0.1882676947	0.1882676947
538	0.1879536074	0.1879536074
539	0.1875470012	0.1875470012
540	0.1872521364	0.1872521364
541	0.1869631412	0.1869631412
542	0.1867236054	0.1867236054
543	0.1864963974	0.1864963974
544	0.1861917192	0.1861917192
545	0.1859931622	0.1859931622
546	0.1856946548	0.1856946548
547	0.1854439406	0.1854439406
548	0.1851576333	0.1851576333
549	0.1848451151	0.1848451151
550	0.1846497053	0.1846497053
551	0.1842915794	0.1842915794
552	0.1841391386	0.1841391386
553	0.1838703705	0.1838703705
554	0.1837242115	0.1837242115
555	0.1834390946	0.1834390946
556	0.1831757138	0.1831757138
557	0.1830185219	0.1830185219
558	0.1827575779	0.1827575779
559	0.1825652991	0.1825652991
560	0.1822725076	0.1822725076
561	0.1820670364	0.1820670364
562	0.1818239445	0.1818239445
563	0.1816453936	0.1816453936
564	0.1813943088	0.1813943088
565	0.181170793	0.181170793
566	0.1808433121	0.1808433121
567	0.1805791687	0.1805791687
568	0.1803891256	0.1803891256
569	0.1801715759	0.1801715759
570	0.1799088004	0.1799088004
571	0.179746352	0.179746352
572	0.1795668086	0.1795668086
573	0.179315042	0.179315042
574	0.1791867592	0.1791867592
575	0.1789294835	0.1789294835
576	0.1787044186	0.1787044186
577	0.178434142	0.178434142
578	0.1781697181	0.1781697181
579	0.1779931097	0.1779931097
580	0.1778635099	0.1778635099
581	0.1775805748	0.1775805748
582	0.1774778792	0.1774778792
583	0.1772325524	0.1772325524
584	0.1771119234	0.1771119234
585	0.1769371226	0.1769371226
586	0.1768019032	0.1768019032
587	0.1765104368	0.1765104368
588	0.1764306232	0.1764306232
589	0.1762710332	0.1762710332
590	0.1760706866	0.1760706866
591	0.1758664079	0.1758664079
592	0.1756997661	0.1756997661
593	0.175621071	0.175621071
594	0.1754852464	0.1754852464
595	0.1754141714	0.1754141714
596	0.1752030672	0.1752030672
597	0.17512004	0.17512004
598	0.1749448858	0.1749448858
599	0.1747622106	0.1747622106
600	0.1746260199	0.1746260199
601	0.1744388127	0.1744388127
602	0.1742106728	0.1742106728
603	0.1739903134	0.1739903134
604	0.1738264086	0.1738264086
605	0.173741976	0.173741976
606	0.1736765997	0.1736765997
607	0.1735010843	0.1735010843
608	0.1734184562	0.1734184562
609	0.1733214573	0.1733214573
610	0.1732425524	0.1732425524
611	0.1731379165	0.1731379165
612	0.1730461333	0.1730461333
613	0.1728472661	0.1728472661
614	0.1727004479	0.1727004479
615	0.1724925723	0.1724925723
616	0.1723719076	0.1723719076
617	0.1722686563	0.1722686563
618	0.1721169476	0.1721169476
619	0.171963382	0.171963382
620	0.1719041801	0.1719041801
621	0.1717674547	0.1717674547
622	0.1716941576	0.1716941576
623	0.171487101	0.171487101
624	0.1713528245	0.1713528245
625	0.1711777506	0.1711777506
626	0.1710696632	0.1710696632
627	0.1709735281	0.1709735281
628	0.170823708	0.170823708
629	0.1706876245	0.1706876245
